Cluster_ID;Descricao_Item;Preco_Pago;Score_Risco;Preco_Justo_Estimado;Teto_Estatistico;Quantas_Vezes_Mais_Caro;Perc_Excesso;ano;unidade_gestora
5;confeccao de resinas para carimbos material utilizado para atender as necessidades do protocolo obs a nota fiscal foi preenchida sem a data de emissao logo;2016800184.00;7522083.52;1228.10;343.00;1642200.60;587988291.84;2016;
9;anel superior;1015300400.00;6879356.25;527.95;204.85;1923045.80;495631044.74;2016;
10;chapa zn 0;80400200.00;819323.08;213.24;181.78;377030.10;44229298.17;2016;
10;aquisicao de de dois numeros em aco inox;21160252.00;202697.53;245.20;181.78;86292.70;11640483.12;2016;
16;valvula reversora para split;730000.00;5571.32;217.24;330.00;3360.20;221112.12;2016;
10;rebite 3;210500.00;3792.79;79.85;181.78;2635.80;115699.32;2016;
3;5o laminas em digital e 100 laminas em digital;210297.00;1845.07;159.36;399.45;1319.60;52546.64;2016;
12;joelho de pvc para esgoto;90100.00;1768.38;70.17;185.55;1283.80;48458.34;2016;
12;360 tubo soldado 50 mm krona;49050.00;1006.45;66.00;185.55;743.10;26334.92;2016;
9;anel de borracha cano de esgoto;10022.00;273.32;44.46;204.85;225.40;4792.36;2016;
12;abracadeira de nylon 4;8400.00;223.37;46.88;185.55;179.10;4427.08;2016;
5;compra de etiqueta inkjetlaser carta 33;9101.00;123.73;92.70;343.00;98.20;2553.35;2016;
3;aquisicao de 18 dvdr cis 18x4;7120.00;103.82;81.81;399.45;87.00;1682.45;2016;
12;compra emergencial para enfermagem mascara caixa;4400.00;82.01;74.16;185.55;59.30;2271.33;2020;pgr
9;cuba para lavatorio;3750.00;68.61;73.06;204.85;51.30;1730.61;2016;
4;compra emergencial de termometro infravermelho yrk  002a anu;4420.00;49.65;115.77;355.00;38.20;1145.07;2020;pgr
12;2 dois plugs monobloco 2pt ax pial legrand;2210.00;41.71;71.67;185.55;30.80;1091.05;2016;
5;compra para enfermagem;6686.00;39.29;321.78;343.00;20.80;1849.27;2020;pgr
8;areia media;2033.00;39.28;63.33;248.54;32.10;717.96;2016;
10;arruela 516 pol pfixacao parafusos  50un x r 0;974.00;37.76;29.19;181.78;33.40;435.81;2016;
10;arruela 316 pol pfixacao parafusos  50un x r 0;972.00;37.65;29.19;181.78;33.30;434.71;2016;
1;aluguel de embarcacao com condutor para transporte de servidores em diligencias no municipio de bagre nos rios parnauba e jacunda para visitar varias escolas;1907.86;35.20;86.79;134.35;22.00;1320.07;2018;
12;aquisicao de cabo de rede gaveta externa para hd carregador de bateria adaptador usbps2 e kit de ferramentas para reparo de computadornotebook em proveito da prro cuja demanda compoe a lista de contratacoes de 2020 deste mpfro;1682.00;33.36;66.50;185.55;25.30;806.49;2020;prro
8;4 quatro lixas para massa material utilizado no servico da sala de equipamentos;2212.00;32.20;91.17;248.54;24.30;789.98;2016;
5;compra par enfermagem;3250.00;31.48;141.56;343.00;23.00;847.52;2020;pgr
