Cluster_Original;Descricao_Item;Preco_Pago_Real;Preco_Justo_Estimado;Quantas_Vezes_Mais_Caro;ano;unidade_gestora
9;anel superior;1015300400.00;527.95;1923045.80;2016;
5;confeccao de resinas para carimbos material utilizado para atender as necessidades do protocolo obs a nota fiscal foi preenchida sem a data de emissao logo;2016800184.00;1228.10;1642200.60;2016;
10;chapa zn 0;80400200.00;213.24;377030.10;2016;
10;aquisicao de de dois numeros em aco inox;21160252.00;245.20;86292.70;2016;
16;valvula reversora para split;730000.00;217.24;3360.20;2016;
10;rebite 3;210500.00;79.85;2635.80;2016;
3;5o laminas em digital e 100 laminas em digital;210297.00;159.36;1319.60;2016;
12;joelho de pvc para esgoto;90100.00;70.17;1283.80;2016;
12;360 tubo soldado 50 mm krona;49050.00;66.00;743.10;2016;
9;anel de borracha cano de esgoto;10022.00;44.46;225.40;2016;
12;abracadeira de nylon 4;8400.00;46.88;179.10;2016;
5;compra de etiqueta inkjetlaser carta 33;9101.00;92.70;98.20;2016;
3;aquisicao de 18 dvdr cis 18x4;7120.00;81.81;87.00;2016;
12;compra emergencial para enfermagem mascara caixa;4400.00;74.16;59.30;2020;pgr
9;cuba para lavatorio;3750.00;73.06;51.30;2016;
4;compra emergencial de termometro infravermelho yrk  002a anu;4420.00;115.77;38.20;2020;pgr
10;arruela 516 pol pfixacao parafusos  50un x r 0;974.00;29.19;33.40;2016;
10;arruela 316 pol pfixacao parafusos  50un x r 0;972.00;29.19;33.30;2016;
8;areia media;2033.00;63.33;32.10;2016;
12;2 dois plugs monobloco 2pt ax pial legrand;2210.00;71.67;30.80;2016;
12;aquisicao de cabo de rede gaveta externa para hd carregador de bateria adaptador usbps2 e kit de ferramentas para reparo de computadornotebook em proveito da prro cuja demanda compoe a lista de contratacoes de 2020 deste mpfro;1682.00;66.50;25.30;2020;prro
8;4 quatro lixas para massa material utilizado no servico da sala de equipamentos;2212.00;91.17;24.30;2016;
10;02 copias digital color a4;1524.00;64.72;23.50;2016;
10;rejunte quartzolit pto 2kg x r 4;855.00;36.36;23.50;2016;
5;compra par enfermagem;3250.00;141.56;23.00;2020;pgr
4;pequeno valor e necessidade urgente por se tratar de item de campanha do combate ao racismo promovida pelo mpf;1700.00;74.59;22.80;2020;prro
1;aluguel de embarcacao com condutor para transporte de servidores em diligencias no municipio de bagre nos rios parnauba e jacunda para visitar varias escolas;1907.86;86.79;22.00;2018;
4;valor de pequeno vulto;1470.00;67.66;21.70;2021;prro
5;compra para enfermagem;6686.00;321.78;20.80;2020;pgr
12;cabinho flex60mm 750v pt 400;780.00;38.17;20.40;2016;
15;aquisicao de correia sincronizadora l050 12 mm revestimento teflon marca ppa para porta automatica  torre 1;1080.00;53.00;20.40;2020;prsc
2;mascaras  resppff2 azul;1199.00;59.71;20.10;2020;pgr
16;servico de reparo de vazamento em teto;1500.00;76.15;19.70;2020;prba
9;torneira pvc herc para lavatorio 11951 2un x r 9;815.00;41.59;19.60;2016;
10;cimento cola quartzolit aci 20kg 5sc x r 9;814.00;41.54;19.60;2016;
2;compra de material de protecao individual para o gabinete medico dr roberto;1166.60;61.35;19.00;2020;prr4 regiao
17;referente a instalacao de peliculas nas guaritas da vigilancia;1295.00;70.67;18.30;2019;prrs
13;aquisicao de copias de chaves para atender a demanda do agc;826.00;45.49;18.20;2020;prrn
12;abracadeira de nylon 4;838.00;46.88;17.90;2016;
14;manutencao das persianas;998.00;57.22;17.40;2018;
14;substituicao de porta de madeira na prmsjrmg e seus acessorios;1417.79;82.57;17.20;2021;prmg
14;substituicao de porta de madeira da prmsjrmg e acessorios que a acompanham;1417.79;82.57;17.20;2021;prmg
15;servicos de manutencao com fornecimento de materiais das portas de vidros da entrada principal da prm e de acesso a guarita;1508.30;89.34;16.90;2019;prrs
17;com a recente reforma a sala de licitacoes ficou com dois vao de janelas mas os dois fixos junto aos pilares nao dispondo de ventilacao natural o servico proposto e paraadaptar um dos vaos fixos para maxar disponibilizando assim ventilacao natural para a sala;1500.00;89.59;16.70;2021;prr1 regiao
10;aquisicao de seis tubos de cola duas latas de tinta branco neve com 18 litros cada e sete roda teto sanca de isopor de 30x30mm por 2 metros utilizacao acabamento sala de monitoramento da prpr;935.40;56.10;16.70;2018;
5;compra para enfermagem;5265.00;321.78;16.40;2020;pgr
12;aquisicao de 11 onze unidades de requadro para alcapao 400mm;650.10;40.27;16.10;2019;prr4 regiao
14;protetor acrilico para sala de atendimento ao cidadao;1300.00;80.98;16.10;2021;prac
2;protecao contra a covid;1695.00;106.28;15.90;2021;prrr
16;recolocacao moldura em granito elevaores mezanino torre 1;1170.00;75.55;15.50;2021;prsc
6;coador flanela nr 10 reforcado;690.00;45.06;15.30;2016;
6;compra de materiais de limpeza para atender a demanda da prrj devido ao nao cumprimento do contrato pela empresa terceirizada graupp responsavel pelos servicos dessa natureza;1900.28;127.02;15.00;2018;
16;material para manutencao dos postes de iluminacao externa do patio de estacionamento da prm pelotas;1154.60;77.19;15.00;2019;prrs
10;zarcofer cola super bonder e arame galvan;528.40;35.33;15.00;2016;
12;compra emergencial de 08 unidades de termometros para enfermagem;1671.92;112.26;14.90;2021;pgr
3;autorizado pela secretaria estadual apos verificacao de disponibilidade orcamentaria pela seof;1560.00;106.36;14.70;2020;prro
2;aquisicao necessaria para atender demanda da prmsinop visto que nao havia estoque em cuiaba;828.00;56.65;14.60;2021;prmt
10;lixas tintas suvinil e rolo;705.19;48.78;14.50;2016;
