Cluster_ID;Descricao_Item;Preco_Pago;Preco_Referencia;Teto_Estatistico;Perc_Excesso;ano;unidade_gestora
5;confeccao de resinas para carimbos material utilizado para atender as necessidades do protocolo obs a nota fiscal foi preenchida sem a data de emissao logo;2016800184.00;75.55;343.00;587988291.84;2016;
9;anel superior;1015300400.00;42.00;204.85;495631044.74;2016;
10;chapa zn 0;80400200.00;34.55;181.78;44229298.17;2016;
10;aquisicao de de dois numeros em aco inox;21160252.00;34.55;181.78;11640483.12;2016;
16;valvula reversora para split;730000.00;66.02;330.00;221112.12;2016;
10;rebite 3;210500.00;34.55;181.78;115699.32;2016;
3;5o laminas em digital e 100 laminas em digital;210297.00;74.90;399.45;52546.64;2016;
12;joelho de pvc para esgoto;90100.00;31.00;185.55;48458.34;2016;
12;360 tubo soldado 50 mm krona;49050.00;31.00;185.55;26334.92;2016;
9;anel de borracha cano de esgoto;10022.00;42.00;204.85;4792.36;2016;
12;abracadeira de nylon 4;8400.00;31.00;185.55;4427.08;2016;
5;compra de etiqueta inkjetlaser carta 33;9101.00;75.55;343.00;2553.35;2016;
12;compra emergencial para enfermagem mascara caixa;4400.00;31.00;185.55;2271.33;2020;pgr
5;compra para enfermagem;6686.00;75.55;343.00;1849.27;2020;pgr
9;cuba para lavatorio;3750.00;42.00;204.85;1730.61;2016;
3;aquisicao de 18 dvdr cis 18x4;7120.00;74.90;399.45;1682.45;2016;
5;compra para enfermagem;5265.00;75.55;343.00;1434.99;2020;pgr
1;aluguel de embarcacao com condutor para transporte de servidores em diligencias no municipio de bagre nos rios parnauba e jacunda para visitar varias escolas;1907.86;11.60;134.35;1320.07;2018;
4;compra emergencial de termometro infravermelho yrk  002a anu;4420.00;67.26;355.00;1145.07;2020;pgr
12;2 dois plugs monobloco 2pt ax pial legrand;2210.00;31.00;185.55;1091.05;2016;
5;compra par enfermagem;3250.00;75.55;343.00;847.52;2020;pgr
12;aquisicao de cabo de rede gaveta externa para hd carregador de bateria adaptador usbps2 e kit de ferramentas para reparo de computadornotebook em proveito da prro cuja demanda compoe a lista de contratacoes de 2020 deste mpfro;1682.00;31.00;185.55;806.49;2020;prro
12;compra emergencial de 08 unidades de termometros para enfermagem;1671.92;31.00;185.55;801.06;2021;pgr
8;4 quatro lixas para massa material utilizado no servico da sala de equipamentos;2212.00;50.00;248.54;789.98;2016;
5;compra para enfermagem;3030.00;75.55;343.00;783.38;2020;pgr
